project,biz_score,agent_score,execution_score,share_score,penalty,composite,selected_files,sample_files
oauth-for-playwright,0,817,515,6,0,375.05,8,bot_review_snapshot/README.md | README.md | docs/validation.md | docs/DESIGN.md
es-aiops,20,483,332,18,0,236.5,8,README.md | docs/plans/2026-02-22-es-aiops-bff-benchmark-implementation.md | docs/plans/2026-02-21-es-aiops-agent-implementation.md | docs/appendix-detailed.md
pai_mem0_finetune_lab,1,343,298,105,0,198.65,8,README.md | outputs/test_cpt/README.md | docs/plans/2026-02-10-milestone-doc-unification.md | docs/plans/2026-02-12-eval-framework-implementation-plan.md
denny-all-in-one,11,389,199,29,0,175.0,8,README.md | dot_claude/skills/anthropics-skills/README.md | docs/plans/2026-02-21-backup-restore-implementation.md | docs/plans/2026-02-21-backup-restore-design.md
search_benchmark_harness,1,222,318,73,0,160.95,8,README.md | docs/plans/2026-02-12-benchmark-harness-plan.md | docs/plans/2026-02-12-benchmark-harness-design.md | docs/BENCHMARKS.md
es-9.2.4-plugins-rt-scale,31,144,376,23,0,149.55,8,docs/reference/query-languages/esql/README.md | docs/README.md | docs/plans/2026-02-10-opus-review-fixes-plan.md | docs/tech-share-lance-cloud-iam-ldap-PR6.md
es-lance-iam-demo,15,160,286,18,0,126.85,8,.worktree/es-lance-rt-scale-iam-demo/reg_validation_guide.md | .worktree/es-lance-rt-scale-iam-demo/task_plan.md | .worktree/es-lance-rt-scale-iam-demo/AGENT.md | .worktree/es-lance-rt-scale-iam-demo/AGENTS.md
_bmad,18,173,231,39,0,121.95,8,cis/workflows/innovation-strategy/README.md | tea/workflows/testarch/README.md | tea/workflows/testarch/trace/validation-report-20260127-095021.md | tea/workflows/testarch/trace/validation-report-20260127-102401.md
openclaw,1,368,4,9,0,113.45,8,docs/gateway/remote-gateway-readme.md | docs/.i18n/README.md | docs/tools/agent-send.md | docs/tools/subagents.md
es-lance-in-oss-demo,6,210,114,7,0,94.4,8,scripts/ralph/README.md | scripts/ralph/flowchart/README.md | reg_validation_guide.md | scripts/ralph/prompt.md
kibana,37,173,111,103,20,89.5,8,x-pack/platform/plugins/shared/dashboard_agent/README.md | x-pack/platform/plugins/shared/ai_infra/product_doc_base/README.md | docs/settings-gen/readme.md | docs/reference/configuration-reference/reporting-settings.md
